mobility_pair,origin,region_origin,income_origin,destination,region_destination,income_destination,r_mobi,r_coll,r_coll_mobi,MRot_c,r_no_coll,r_no_coll_mobi,MRot_nc,CMR_ot,MRot_all,,
CN-US,CN,East Asia & Pacific,Upper middle,US,North America,High,58391,355404,29971,0.084329383,1664123,28420,0.017078065,4.937877046,0.028913206,,
US-CA,US,North America,High,CA,North America,High,28441,212498,9507,0.044739245,2403179,18934,0.007878731,5.678483844,0.010873284,,
CA-US,CA,North America,High,US,North America,High,27475,96330,11898,0.123512924,235656,15577,0.066100587,1.868560165,0.082759514,,
DE-US,DE,Europe & Central Asia,High,US,North America,High,27050,134998,11972,0.088682795,482927,15078,0.03122211,2.84038442,0.043775539,,
JP-US,JP,East Asia & Pacific,High,US,North America,High,26672,95822,9963,0.103974035,835539,16709,0.01999787,5.199255574,0.02863766,,
US-UK,US,North America,High,UK,Europe & Central Asia,High,26120,220176,8287,0.037638071,2395501,17833,0.007444372,5.055909695,0.009985942,,
UK-US,UK,Europe & Central Asia,High,US,North America,High,25577,127731,10523,0.082384073,492342,15054,0.030576307,2.69437619,0.041248369,,
US-CN,US,North America,High,CN,East Asia & Pacific,Upper middle,23512,185117,10992,0.059378663,2430560,12520,0.005151076,11.52742841,0.008988877,,
US-DE,US,North America,High,DE,Europe & Central Asia,High,20546,182296,6972,0.038245491,2433381,13574,0.005578247,6.856184674,0.007854945,,
IN-US,IN,South Asia,Lower middle,US,North America,High,18644,45276,4450,0.098286068,392148,14194,0.036195518,2.715420943,0.042622261,,
FR-US,FR,Europe & Central Asia,High,US,North America,High,16717,69820,6073,0.086980808,306688,10644,0.034706281,2.506197856,0.044400119,,
KR-US,KR,East Asia & Pacific,High,US,North America,High,15860,64414,7388,0.114695563,244428,8472,0.034660514,3.309113207,0.051353119,,
IT-US,IT,Europe & Central Asia,High,US,North America,High,15660,76775,7451,0.097049821,239048,8209,0.034340384,2.826113484,0.049584736,,
BR-US,BR,Latin America & Caribbean,Upper middle,US,North America,High,12161,63197,5463,0.086443977,343490,6698,0.01949984,4.433060851,0.029902603,,
US-KR,US,North America,High,KR,East Asia & Pacific,High,11728,76595,3511,0.045838501,2539082,8217,0.003236209,14.16425865,0.004483734,,
US-JP,US,North America,High,JP,East Asia & Pacific,High,11661,115809,3916,0.033814298,2499868,7745,0.003098164,10.91430351,0.004458119,,
DE-UK,DE,Europe & Central Asia,High,UK,Europe & Central Asia,High,11484,86244,4077,0.047272854,531681,7407,0.013931286,3.393287183,0.01858478,,
US-AU,US,North America,High,AU,East Asia & Pacific,High,10922,106456,3233,0.030369354,2509221,7689,0.003064298,9.910706464,0.004175592,,
US-FR,US,North America,High,FR,Europe & Central Asia,High,10796,115797,3204,0.027669111,2499880,7592,0.003036946,9.11083459,0.004127421,,
ES-US,ES,Europe & Central Asia,High,US,North America,High,10672,54518,4439,0.081422649,294173,6233,0.021188212,3.842827698,0.030605895,,
DE-CH,DE,Europe & Central Asia,High,CH,Europe & Central Asia,High,10289,65867,3073,0.046654622,552058,7216,0.01307109,3.569298423,0.016650888,,
IT-UK,IT,Europe & Central Asia,High,UK,Europe & Central Asia,High,9385,57166,3529,0.061732498,258657,5856,0.022640021,2.726697886,0.029716012,,
AU-US,AU,East Asia & Pacific,High,US,North America,High,9310,49785,3999,0.080325399,173305,5311,0.030645394,2.621124706,0.041732036,,
CN-UK,CN,East Asia & Pacific,Upper middle,UK,Europe & Central Asia,High,8428,95746,3423,0.035750841,1923781,5005,0.002601647,13.74161602,0.004173254,,
NL-US,NL,Europe & Central Asia,High,US,North America,High,8324,42977,3843,0.089419922,128642,4481,0.034833103,2.567096104,0.048502788,,
FR-UK,FR,Europe & Central Asia,High,UK,Europe & Central Asia,High,8310,49440,2486,0.050283172,327068,5824,0.017806695,2.823835224,0.022071244,,
UK-DE,UK,Europe & Central Asia,High,DE,Europe & Central Asia,High,8299,71558,2864,0.040023477,548515,5435,0.009908571,4.039278333,0.013383908,,
US-CH,US,North America,High,CH,Europe & Central Asia,High,8285,79763,2254,0.028258716,2535914,6031,0.002378235,11.88222097,0.00316744,,
US-IT,US,North America,High,IT,Europe & Central Asia,High,8090,100381,3048,0.030364312,2515296,5042,0.002004535,15.14780493,0.00309289,,
IL-US,IL,Middle East & North Africa,High,US,North America,High,7942,22504,3770,0.167525773,44137,4172,0.094523869,1.772311853,0.119175883,,
UK-AU,UK,Europe & Central Asia,High,AU,East Asia & Pacific,High,7885,51767,2242,0.043309444,568306,5643,0.00992951,4.361690062,0.012716245,,
CN-AU,CN,East Asia & Pacific,Upper middle,AU,East Asia & Pacific,High,7731,84761,3341,0.039416713,1934766,4390,0.002269008,17.37178039,0.003828124,,
US-NL,US,North America,High,NL,Europe & Central Asia,High,7591,88517,2413,0.0272603,2527160,5178,0.00204894,13.30458487,0.002902117,,
CH-US,CH,Europe & Central Asia,High,US,North America,High,7408,30598,3075,0.100496764,80822,4333,0.05361164,1.874532541,0.066487166,,
CN-CA,CN,East Asia & Pacific,Upper middle,CA,North America,High,7260,65617,2817,0.042930948,1953910,4443,0.002273902,18.87985779,0.003594901,,
US-IN,US,North America,High,IN,South Asia,Lower middle,7227,44836,1276,0.028459274,2570841,5951,0.002314807,12.29444932,0.002762956,,
CN-DE,CN,East Asia & Pacific,Upper middle,DE,Europe & Central Asia,High,7224,55475,2295,0.041369986,1964052,4929,0.002509608,16.48464287,0.003577075,,
ES-UK,ES,Europe & Central Asia,High,UK,Europe & Central Asia,High,7202,45129,2595,0.057501828,303562,4607,0.015176471,3.788879952,0.02065439,,
CN-JP,CN,East Asia & Pacific,Upper middle,JP,East Asia & Pacific,High,6930,61757,2657,0.043023463,1957770,4273,0.002182585,19.71215657,0.003431497,,
AU-UK,AU,East Asia & Pacific,High,UK,Europe & Central Asia,High,6706,37777,2183,0.057786484,185313,4523,0.024407354,2.367584939,0.030059617,,
TW-US,TW,East Asia & Pacific,High,US,North America,High,6199,28160,2491,0.088458807,134185,3708,0.027633491,3.20114482,0.038184114,,
FR-DE,FR,Europe & Central Asia,High,DE,Europe & Central Asia,High,6112,48253,1954,0.040494892,328255,4158,0.012666981,3.196885669,0.016233387,,
IT-FR,IT,Europe & Central Asia,High,FR,Europe & Central Asia,High,6090,42406,2224,0.052445409,273417,3866,0.014139574,3.709122168,0.019282953,,
TR-US,TR,Europe & Central Asia,Upper middle,US,North America,High,6081,17658,1850,0.104768377,115404,4231,0.036662507,2.857643529,0.045700501,,
IR-US,IR,Middle East & North Africa,Lower middle,US,North America,High,6045,21585,1402,0.064952513,133647,4643,0.034740772,1.869633545,0.038941713,,
JP-CN,JP,East Asia & Pacific,High,CN,East Asia & Pacific,Upper middle,5927,37453,2095,0.055936774,893908,3832,0.004286795,13.0486247,0.006363805,,
US-ES,US,North America,High,ES,Europe & Central Asia,High,5864,75984,1827,0.024044536,2539693,4037,0.001589562,15.12651449,0.002241867,,
FR-CA,FR,Europe & Central Asia,High,CA,North America,High,5813,29120,1317,0.045226648,347388,4496,0.012942301,3.494482855,0.015439247,,
UK-CA,UK,Europe & Central Asia,High,CA,North America,High,5750,40138,1543,0.038442374,579935,4207,0.007254261,5.299281687,0.009273102,,
IT-DE,IT,Europe & Central Asia,High,DE,Europe & Central Asia,High,5694,45717,2176,0.047597174,270106,3518,0.013024516,3.654429295,0.018029086,,
DE-FR,DE,Europe & Central Asia,High,FR,Europe & Central Asia,High,5662,60153,1985,0.032999185,557772,3677,0.006592299,5.005717064,0.009162924,,
NL-UK,NL,Europe & Central Asia,High,UK,Europe & Central Asia,High,5632,38413,2356,0.061333403,133206,3276,0.024593487,2.493888049,0.032816879,,
CN-SG,CN,East Asia & Pacific,Upper middle,SG,East Asia & Pacific,High,5348,38700,1730,0.044702842,1980827,3618,0.00182651,24.47446024,0.002648145,,
FR-CH,FR,Europe & Central Asia,High,CH,Europe & Central Asia,High,5322,31176,1225,0.039293046,345332,4097,0.011863945,3.311971232,0.014135158,,
UK-FR,UK,Europe & Central Asia,High,FR,Europe & Central Asia,High,5281,50934,1686,0.033101661,569139,3595,0.006316559,5.240457921,0.008516739,,
DE-NL,DE,Europe & Central Asia,High,NL,Europe & Central Asia,High,5241,52848,1855,0.035100666,565077,3386,0.005992104,5.857820164,0.008481612,,
DE-AT,DE,Europe & Central Asia,High,AT,Europe & Central Asia,High,5182,45541,1703,0.037394875,572384,3479,0.006078087,6.152408193,0.008386131,,
US-TW,US,North America,High,TW,East Asia & Pacific,High,5091,35759,1127,0.031516541,2579918,3964,0.001536483,20.51213223,0.001946341,,
SE-US,SE,Europe & Central Asia,High,US,North America,High,5078,25220,2403,0.095281523,77355,2675,0.034580829,2.755327918,0.04950524,,
CH-DE,CH,Europe & Central Asia,High,DE,Europe & Central Asia,High,5057,30346,2163,0.071277928,81074,2894,0.035695784,1.996816422,0.045386825,,
US-SE,US,North America,High,SE,Europe & Central Asia,High,5004,59742,1637,0.027401158,2555935,3367,0.001317326,20.80058793,0.00191308,,
CA-UK,CA,North America,High,UK,Europe & Central Asia,High,4982,32169,1433,0.044545991,299817,3549,0.011837221,3.76321373,0.015006657,,
US-BR,US,North America,High,BR,Latin America & Caribbean,Upper middle,4732,51856,1364,0.02630361,2563821,3368,0.001313664,20.02308423,0.001809092,,
US-IL,US,North America,High,IL,Middle East & North Africa,High,4705,49740,1422,0.028588661,2565937,3283,0.001279455,22.34441156,0.001798769,,
NL-DE,NL,Europe & Central Asia,High,DE,Europe & Central Asia,High,4616,35796,1907,0.053274109,135823,2709,0.019945076,2.671040711,0.026896789,,
RU-US,RU,Europe & Central Asia,Upper middle,US,North America,High,4509,26463,1729,0.065336508,241048,2780,0.011532973,5.665192258,0.016855382,,
UK-CN,UK,Europe & Central Asia,High,CN,East Asia & Pacific,Upper middle,4477,32363,1824,0.056360659,587710,2653,0.004514131,12.48538363,0.007220118,,
UK-NL,UK,Europe & Central Asia,High,NL,Europe & Central Asia,High,4358,47233,1463,0.030974107,572840,2895,0.005053767,6.128914509,0.007028205,,
