mobility_pair,origin,region_origin,income_origin,destination,region_destination,income_destination,r_origin,r_mobi_origin,r_coll_origin,r_mobi,r_coll,r_coll_mobi,MRot_c,r_no_coll,r_no_coll_mobi,MRot_nc,CMR_ot,MRot_all,prop_mobi,prop_coll
CN-US,CN,East Asia & Pacific,Upper middle,US,North America,High,2019527,123439,635973,58391,355404,29971,0.084329383,1664123,28420,0.017078065,4.937877046,0.028913206,0.473035264,0.558835045
US-CA,US,North America,High,CA,North America,High,2615677,243148,926952,28441,212498,9507,0.044739245,2403179,18934,0.007878731,5.678483844,0.010873284,0.116969911,0.229243801
CA-US,CA,North America,High,US,North America,High,331986,58798,157507,27475,96330,11898,0.123512924,235656,15577,0.066100587,1.868560165,0.082759514,0.467277799,0.611591866
DE-US,DE,Europe & Central Asia,High,US,North America,High,617925,99584,325627,27050,134998,11972,0.088682795,482927,15078,0.03122211,2.84038442,0.043775539,0.271629981,0.414578644
JP-US,JP,East Asia & Pacific,High,US,North America,High,931361,62618,201783,26672,95822,9963,0.103974035,835539,16709,0.01999787,5.199255574,0.02863766,0.425947811,0.474876476
US-UK,US,North America,High,UK,Europe & Central Asia,High,2615677,243148,926952,26120,220176,8287,0.037638071,2395501,17833,0.007444372,5.055909695,0.009985942,0.107424285,0.237526862
UK-US,UK,Europe & Central Asia,High,US,North America,High,620073,107707,294247,25577,127731,10523,0.082384073,492342,15054,0.030576307,2.69437619,0.041248369,0.237468317,0.434094485
US-CN,US,North America,High,CN,East Asia & Pacific,Upper middle,2615677,243148,926952,23512,185117,10992,0.059378663,2430560,12520,0.005151076,11.52742841,0.008988877,0.096698307,0.199705055
US-DE,US,North America,High,DE,Europe & Central Asia,High,2615677,243148,926952,20546,182296,6972,0.038245491,2433381,13574,0.005578247,6.856184674,0.007854945,0.084499975,0.196661747
IN-US,IN,South Asia,Lower middle,US,North America,High,437424,50061,117155,18644,45276,4450,0.098286068,392148,14194,0.036195518,2.715420943,0.042622261,0.372425641,0.386462379
FR-US,FR,Europe & Central Asia,High,US,North America,High,376508,76371,193058,16717,69820,6073,0.086980808,306688,10644,0.034706281,2.506197856,0.044400119,0.218891988,0.361652975
KR-US,KR,East Asia & Pacific,High,US,North America,High,308842,28777,104711,15860,64414,7388,0.114695563,244428,8472,0.034660514,3.309113207,0.051353119,0.551134587,0.615159821
IT-US,IT,Europe & Central Asia,High,US,North America,High,315823,59697,171682,15660,76775,7451,0.097049821,239048,8209,0.034340384,2.826113484,0.049584736,0.26232474,0.447193066
BR-US,BR,Latin America & Caribbean,Upper middle,US,North America,High,406687,33809,138687,12161,63197,5463,0.086443977,343490,6698,0.01949984,4.433060851,0.029902603,0.359697122,0.455680778
US-KR,US,North America,High,KR,East Asia & Pacific,High,2615677,243148,926952,11728,76595,3511,0.045838501,2539082,8217,0.003236209,14.16425865,0.004483734,0.048233997,0.082631032
US-JP,US,North America,High,JP,East Asia & Pacific,High,2615677,243148,926952,11661,115809,3916,0.033814298,2499868,7745,0.003098164,10.91430351,0.004458119,0.047958445,0.124935272
DE-UK,DE,Europe & Central Asia,High,UK,Europe & Central Asia,High,617925,99584,325627,11484,86244,4077,0.047272854,531681,7407,0.013931286,3.393287183,0.01858478,0.11531973,0.264855187
US-AU,US,North America,High,AU,East Asia & Pacific,High,2615677,243148,926952,10922,106456,3233,0.030369354,2509221,7689,0.003064298,9.910706464,0.004175592,0.044919144,0.114845213
US-FR,US,North America,High,FR,Europe & Central Asia,High,2615677,243148,926952,10796,115797,3204,0.027669111,2499880,7592,0.003036946,9.11083459,0.004127421,0.044400941,0.124922326
ES-US,ES,Europe & Central Asia,High,US,North America,High,348691,47132,149667,10672,54518,4439,0.081422649,294173,6233,0.021188212,3.842827698,0.030605895,0.226427905,0.364261995
DE-CH,DE,Europe & Central Asia,High,CH,Europe & Central Asia,High,617925,99584,325627,10289,65867,3073,0.046654622,552058,7216,0.01307109,3.569298423,0.016650888,0.10331981,0.202277452
IT-UK,IT,Europe & Central Asia,High,UK,Europe & Central Asia,High,315823,59697,171682,9385,57166,3529,0.061732498,258657,5856,0.022640021,2.726697886,0.029716012,0.15721058,0.332976084
AU-US,AU,East Asia & Pacific,High,US,North America,High,223090,37804,111340,9310,49785,3999,0.080325399,173305,5311,0.030645394,2.621124706,0.041732036,0.246270236,0.447143884
CN-UK,CN,East Asia & Pacific,Upper middle,UK,Europe & Central Asia,High,2019527,123439,635973,8428,95746,3423,0.035750841,1923781,5005,0.002601647,13.74161602,0.004173254,0.068276639,0.150550416
NL-US,NL,Europe & Central Asia,High,US,North America,High,171619,36327,103040,8324,42977,3843,0.089419922,128642,4481,0.034833103,2.567096104,0.048502788,0.229140859,0.41709045
FR-UK,FR,Europe & Central Asia,High,UK,Europe & Central Asia,High,376508,76371,193058,8310,49440,2486,0.050283172,327068,5824,0.017806695,2.823835224,0.022071244,0.108810936,0.256088844
UK-DE,UK,Europe & Central Asia,High,DE,Europe & Central Asia,High,620073,107707,294247,8299,71558,2864,0.040023477,548515,5435,0.009908571,4.039278333,0.013383908,0.077051631,0.243190245
US-CH,US,North America,High,CH,Europe & Central Asia,High,2615677,243148,926952,8285,79763,2254,0.028258716,2535914,6031,0.002378235,11.88222097,0.00316744,0.034073897,0.086048684
US-IT,US,North America,High,IT,Europe & Central Asia,High,2615677,243148,926952,8090,100381,3048,0.030364312,2515296,5042,0.002004535,15.14780493,0.00309289,0.033271917,0.108291476
IL-US,IL,Middle East & North Africa,High,US,North America,High,66641,13730,34396,7942,22504,3770,0.167525773,44137,4172,0.094523869,1.772311853,0.119175883,0.578441369,0.654262124
UK-AU,UK,Europe & Central Asia,High,AU,East Asia & Pacific,High,620073,107707,294247,7885,51767,2242,0.043309444,568306,5643,0.00992951,4.361690062,0.012716245,0.073207869,0.175930426
CN-AU,CN,East Asia & Pacific,Upper middle,AU,East Asia & Pacific,High,2019527,123439,635973,7731,84761,3341,0.039416713,1934766,4390,0.002269008,17.37178039,0.003828124,0.062630125,0.133277671
US-NL,US,North America,High,NL,Europe & Central Asia,High,2615677,243148,926952,7591,88517,2413,0.0272603,2527160,5178,0.00204894,13.30458487,0.002902117,0.031219669,0.095492539
CH-US,CH,Europe & Central Asia,High,US,North America,High,111420,26940,72388,7408,30598,3075,0.100496764,80822,4333,0.05361164,1.874532541,0.066487166,0.27498144,0.422694369
CN-CA,CN,East Asia & Pacific,Upper middle,CA,North America,High,2019527,123439,635973,7260,65617,2817,0.042930948,1953910,4443,0.002273902,18.87985779,0.003594901,0.058814475,0.103175764
US-IN,US,North America,High,IN,South Asia,Lower middle,2615677,243148,926952,7227,44836,1276,0.028459274,2570841,5951,0.002314807,12.29444932,0.002762956,0.029722638,0.048369279
CN-DE,CN,East Asia & Pacific,Upper middle,DE,Europe & Central Asia,High,2019527,123439,635973,7224,55475,2295,0.041369986,1964052,4929,0.002509608,16.48464287,0.003577075,0.058522833,0.087228546
ES-UK,ES,Europe & Central Asia,High,UK,Europe & Central Asia,High,348691,47132,149667,7202,45129,2595,0.057501828,303562,4607,0.015176471,3.788879952,0.02065439,0.152804888,0.301529395
CN-JP,CN,East Asia & Pacific,Upper middle,JP,East Asia & Pacific,High,2019527,123439,635973,6930,61757,2657,0.043023463,1957770,4273,0.002182585,19.71215657,0.003431497,0.05614109,0.097106324
AU-UK,AU,East Asia & Pacific,High,UK,Europe & Central Asia,High,223090,37804,111340,6706,37777,2183,0.057786484,185313,4523,0.024407354,2.367584939,0.030059617,0.177388636,0.339294054
TW-US,TW,East Asia & Pacific,High,US,North America,High,162345,12502,49839,6199,28160,2491,0.088458807,134185,3708,0.027633491,3.20114482,0.038184114,0.495840665,0.565019362
FR-DE,FR,Europe & Central Asia,High,DE,Europe & Central Asia,High,376508,76371,193058,6112,48253,1954,0.040494892,328255,4158,0.012666981,3.196885669,0.016233387,0.080030378,0.249940432
IT-FR,IT,Europe & Central Asia,High,FR,Europe & Central Asia,High,315823,59697,171682,6090,42406,2224,0.052445409,273417,3866,0.014139574,3.709122168,0.019282953,0.102015177,0.24700318
TR-US,TR,Europe & Central Asia,Upper middle,US,North America,High,133062,13623,39929,6081,17658,1850,0.104768377,115404,4231,0.036662507,2.857643529,0.045700501,0.44637745,0.442234967
IR-US,IR,Middle East & North Africa,Lower middle,US,North America,High,155232,20341,59089,6045,21585,1402,0.064952513,133647,4643,0.034740772,1.869633545,0.038941713,0.297183029,0.365296417
JP-CN,JP,East Asia & Pacific,High,CN,East Asia & Pacific,Upper middle,931361,62618,201783,5927,37453,2095,0.055936774,893908,3832,0.004286795,13.0486247,0.006363805,0.094653295,0.185610284
US-ES,US,North America,High,ES,Europe & Central Asia,High,2615677,243148,926952,5864,75984,1827,0.024044536,2539693,4037,0.001589562,15.12651449,0.002241867,0.024116999,0.081971882
FR-CA,FR,Europe & Central Asia,High,CA,North America,High,376508,76371,193058,5813,29120,1317,0.045226648,347388,4496,0.012942301,3.494482855,0.015439247,0.076115279,0.1508355
UK-CA,UK,Europe & Central Asia,High,CA,North America,High,620073,107707,294247,5750,40138,1543,0.038442374,579935,4207,0.007254261,5.299281687,0.009273102,0.053385574,0.136409207
IT-DE,IT,Europe & Central Asia,High,DE,Europe & Central Asia,High,315823,59697,171682,5694,45717,2176,0.047597174,270106,3518,0.013024516,3.654429295,0.018029086,0.095381677,0.266288836
